Microphone,07-09-2021-08:24:57,59.81290416,3.938022299,(0, 51.936859562),(51.936859562, 55.874881861000006),(55.874881861000006, 63.750926459),(63.750926459, 67.68894875800001),(67.68894875800001, 71.626971057),(71.626971057, 100000000000000)
People,07-09-2021-08:24:57,8.742316785,11.35808511,(0, 0),(-13.973853434999999, -2.6157683249999995),(-2.6157683249999995, 20.100401894999997),(20.100401894999997, 31.458487005),(31.458487005, 42.816572115),(42.816572115, 100000000000000)
Microphone,07-09-2021-08:30:59,59.81290416,3.938022299,(0, 51.936859562),(51.936859562, 55.874881861000006),(55.874881861000006, 63.750926459),(63.750926459, 67.68894875800001),(67.68894875800001, 71.626971057),(71.626971057, 100000000000000)
People,07-09-2021-08:30:59,8.742316785,11.35808511,(0, 0),(-13.973853434999999, -2.6157683249999995),(-2.6157683249999995, 20.100401894999997),(20.100401894999997, 31.458487005),(31.458487005, 42.816572115),(42.816572115, 100000000000000)
Microphone,08-09-2021-09:12:58,59.81290416,3.938022299,(0, 51.936859562),(51.936859562, 55.874881861000006),(55.874881861000006, 63.750926459),(63.750926459, 67.68894875800001),(67.68894875800001, 71.626971057),(71.626971057, 100000000000000)
People,08-09-2021-09:12:58,8.742316785,11.35808511,(0, 0),(-13.973853434999999, -2.6157683249999995),(-2.6157683249999995, 20.100401894999997),(20.100401894999997, 31.458487005),(31.458487005, 42.816572115),(42.816572115, 100000000000000)
Microphone,08-09-2021-11:12:58,59.81290416,3.938022299,(0, 51.936859562),(51.936859562, 55.874881861000006),(55.874881861000006, 63.750926459),(63.750926459, 67.68894875800001),(67.68894875800001, 71.626971057),(71.626971057, 100000000000000)
People,08-09-2021-11:12:58,8.742316785,11.35808511,(0, 0),(-13.973853434999999, -2.6157683249999995),(-2.6157683249999995, 20.100401894999997),(20.100401894999997, 31.458487005),(31.458487005, 42.816572115),(42.816572115, 100000000000000)
Microphone,08-09-2021-13:12:58,59.81290416,3.938022299,(0, 51.936859562),(51.936859562, 55.874881861000006),(55.874881861000006, 63.750926459),(63.750926459, 67.68894875800001),(67.68894875800001, 71.626971057),(71.626971057, 100000000000000)
People,08-09-2021-13:12:58,8.742316785,11.35808511,(0, 0),(-13.973853434999999, -2.6157683249999995),(-2.6157683249999995, 20.100401894999997),(20.100401894999997, 31.458487005),(31.458487005, 42.816572115),(42.816572115, 100000000000000)
Microphone,09-09-2021-09:12:59,59.81290416,3.938022299,(0, 51.936859562),(51.936859562, 55.874881861000006),(55.874881861000006, 63.750926459),(63.750926459, 67.68894875800001),(67.68894875800001, 71.626971057),(71.626971057, 100000000000000)
People,09-09-2021-09:12:59,8.742316785,11.35808511,(0, 0),(-13.973853434999999, -2.6157683249999995),(-2.6157683249999995, 20.100401894999997),(20.100401894999997, 31.458487005),(31.458487005, 42.816572115),(42.816572115, 100000000000000)
Microphone,09-09-2021-11:12:59,59.81290416,3.938022299,(0, 51.936859562),(51.936859562, 55.874881861000006),(55.874881861000006, 63.750926459),(63.750926459, 67.68894875800001),(67.68894875800001, 71.626971057),(71.626971057, 100000000000000)
People,09-09-2021-11:12:59,8.742316785,11.35808511,(0, 0),(-13.973853434999999, -2.6157683249999995),(-2.6157683249999995, 20.100401894999997),(20.100401894999997, 31.458487005),(31.458487005, 42.816572115),(42.816572115, 100000000000000)
Microphone,09-09-2021-13:12:59,59.81290416,3.938022299,(0, 51.936859562),(51.936859562, 55.874881861000006),(55.874881861000006, 63.750926459),(63.750926459, 67.68894875800001),(67.68894875800001, 71.626971057),(71.626971057, 100000000000000)
People,09-09-2021-13:12:59,8.742316785,11.35808511,(0, 0),(-13.973853434999999, -2.6157683249999995),(-2.6157683249999995, 20.100401894999997),(20.100401894999997, 31.458487005),(31.458487005, 42.816572115),(42.816572115, 100000000000000)
